author,comment,likes,published_at
@suparmansiparman7101,"Kelakuan trump ga bedanya anak ingusan ga tau malu, apa trump dah mulai gila beneran.",0,2026-04-16T04:19:54Z
@Asmawi-yx7cg,❤,0,2026-04-16T01:53:17Z
@SuhermanSuherman-t8q,Untuk kenyamanan negara Iran dan arab lainnya harus menundukkan Amerika tidak ada jalan lain.,0,2026-04-16T00:13:55Z
@Sulastri-x7n,Hancurkan kapal kapal Amerika jangan kasih maju sejengkal pun Amerika israel,0,2026-04-15T23:13:54Z
@Budiman1972-v8g,"Iran luar biasa, smg Negara lain ikut menghajar US dan Israel",0,2026-04-15T17:41:32Z
@EliVarianzah,"Jika AS minta agar tidak kembangkan sejata nuklir ,
maka harus nya AS  dan Israel jgn ada senjata nuklir",0,2026-04-15T16:05:47Z
@AbdulSalim-q5r,Wargaa duniiaa jangan nehosuasi ddn bisniiss....nggak ada bisniiss...kevuali sjteeknya amerika,0,2026-04-15T15:52:38Z
@KhoironStecu,IRAN jangan pernah gentar dengan gertakan AS habisi semua kapal 2 AS yang mencampuri kedaatan IRAN,0,2026-04-15T15:00:58Z
@rafaadzikra3455,"baru 2 bln dunia di embargo sdh panik, bagaimana dgn iran 40 tahun, embargo adalah kejahatan terhadap kelangsungan hidup byk org, trump dan Israel penjahat perang dunia harus tegas menghukum",0,2026-04-15T14:51:59Z
@Kajikusno,Dasar isriwil pengecut braninya tembaki rkyt kecil palestina .. Iran harus bantai rkyt isriwil .,0,2026-04-15T13:36:33Z
@TonyHalaka,"Ayoo.. IRAN, CHINA TUNJUKKAN SRIGALA ASIA.. LAWAN AS &,  ISRAEL.. TERORIS DUNIA,..MEREKA IBLIS BERWUJUD MANUSIA..",0,2026-04-15T12:39:32Z
@dedeSuhandi-jr6og,Donol dh pikun klituh,0,2026-04-15T12:09:01Z
@sugengpriyono8114,berita hoax,0,2026-04-15T10:48:24Z
@SutiknoUtik-h2n,DHarus nya di hancur kan Israel kafir itu hancurkan Allah disamping kita,1,2026-04-15T10:44:36Z
@hamdihamdani3063,"Iblis tram omon2 semua dijadikan musuh termasuk paus Paulus pimpinan agama di tram tdk beragama tdk bertuhan berani melawan pimpinan agama, iran saja menghormati paus paulus, tram benar2 iblis laknat, sebentar lagi tram di penjara tdk lama setelah iran manang perang",1,2026-04-15T10:40:06Z
@SutiknoUtik-h2n,Trump salahselat hormus kan wilayah Iran  A S sudah mau merampas hak orang bodoh SE x kau Trump,0,2026-04-15T10:36:23Z
@RevanRevan-qj4ng,Cina termasuk negara yg bodoh  sabar itu perlu tapi harga diri negara lebih utama 😂😂😂😂bodoh,0,2026-04-15T10:14:12Z
@RevanRevan-qj4ng,😂😂😂😂😂 kalau presiden Amerika naik tarif pajak negara negara bodoh diam😂😂😂😂Iran nutup selat hormus😂😂😂 negara negara bodoh gak terima 😂😂😂 negara bodoh mau di injak sama negara adidaya 😂😂😂,0,2026-04-15T10:12:44Z
@AbahKumis-m2n,"Bodoh nya ,negara2 jajirah Srsb yang mau ngasih pangkalan militer ke AS",0,2026-04-15T09:41:30Z
@Ibnuzulis-c5b,"Jan takuik Jo gertak gaek tuo  tu Cino.., kirim taruih bantuan sanjato tu ke IRAN , gaek Trump tu kini lah ciek² angoknyo kini",0,2026-04-15T09:19:56Z
@Sadewi-v1n9g,Semoga Iran ratakan israel,0,2026-04-15T09:07:51Z
@Sadewi-v1n9g,Tentara Israel pengecut beraninya sama rakyat kecil dan ibu,0,2026-04-15T09:07:18Z
@Sadewi-v1n9g,Trump bilang perang sudah menang lawan Iran kata Trump memang udah gak waras Trump masukin rumah sakit jiwa Trump yg benar,0,2026-04-15T09:04:08Z
@MiMi-dk6qy,"Donal.trump sok KUASA,, sok""an ngatur"" PADA NEGARA"" lain ,PADAHAL ATURAN Donaltrump sendiri terancam Di makzulkan,,tpi sombong nya Masih meninggi, COCOK  banget bila trump Di penjara ,",0,2026-04-15T09:03:49Z
@Muhammadazmiazmi-l1q,Bravo Iran ❤❤❤,0,2026-04-15T08:31:02Z
@UnayahxfyUnayahxfy,Goblog dia israel penjaja. InsyaAllah  kamu hancur,0,2026-04-15T08:10:34Z
@Yanti-x8q,Donald bebek sangat serakah,0,2026-04-15T06:41:57Z
@SuryadiPrakoso,Ayolah IRAN Tolonglah orang sipil Palestina yang ditembaki orang zionis Israel Dan Semoga dengan RUDALMU yang bisa menyelesaikan persoalan-persoalan ini 👍🇮🇷🇯🇴👍🇮🇷🇯🇴👍🇮🇷🇯🇴👍🇮🇷🇯🇴👍🇮🇷🇯🇴👍🇮🇷🇯🇴😊😊😊😊😊,0,2026-04-15T06:18:50Z
@CiwangAnggara,"Ini PBB tiada memang gunanya,""PBB bukan untuk semua negara,tapi untuk Israel seja sama America,bagus tidak paya ada namnya PBB bikin kotor seja negara,",0,2026-04-15T06:15:46Z
@SuryadiPrakoso,MANTAP KALAU IRAN INGIN MENYABOTASE EKONOMI AMERIKA SERIKAT BANGKRUT TINGGAL MENUTUP SELAT HORMUZ  BERES KHUSUS PENDUKUNG AS ISRAEL HARUS DITENGGELAMKAN.     😊😊😊😊😊😊😊😊😊😊 BRAVO IRAN DAN CHINA 👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷,0,2026-04-15T06:13:00Z
