comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
"Tidak semua rakyat Amerika setuju' buat perang, ulah pemimpinnya saja ......",Tidak semua rakyat Amerika setuju buat perang ulah pemimpinnya saja ,tidak semua rakyat amerika setuju buat perang ulah pemimpinnya saja ,tidak semua rakyat amerika setuju buat perang ulah pemimpinnya saja,"['tidak', 'semua', 'rakyat', 'amerika', 'setuju', 'buat', 'perang', 'ulah', 'pemimpinnya', 'saja']",rakyat amerika setuju perang ulah pemimpinnya
Si Donald duck ngancem panda...emangnya berani bertindak???,Si Donald duck ngancem pandaemangnya berani bertindak,si donald duck ngancem pandaemangnya berani bertindak,sih donald duck ngancem pandaemangnya berani bertindak,"['sih', 'donald', 'duck', 'ngancem', 'pandaemangnya', 'berani', 'bertindak']",donald duck ngancem pandaemangnya berani bertindak
As  atau trump besar koar saja katanya negara adidaya sedangkan lawan Iran saja keok,As  atau trump besar koar saja katanya negara adidaya sedangkan lawan Iran saja keok,as  atau trump besar koar saja katanya negara adidaya sedangkan lawan iran saja keok,as atau trump besar koar saja katanya negara adidaya sedangkan lawan iran saja keok,"['as', 'atau', 'trump', 'besar', 'koar', 'saja', 'katanya', 'negara', 'adidaya', 'sedangkan', 'lawan', 'iran', 'saja', 'keok']",amerika serikat trump koar negara adidaya lawan iran keok
China diancam oleh as sedangkan lawan Iran saja tidak mampu ayo China pasok terus saja rudal keiran biar hancur tuh as dan zionis,China diancam oleh as sedangkan lawan Iran saja tidak mampu ayo China pasok terus saja rudal keiran biar hancur tuh as dan zionis,china diancam oleh as sedangkan lawan iran saja tidak mampu ayo china pasok terus saja rudal keiran biar hancur tuh as dan zionis,china diancam oleh as sedangkan lawan iran saja tidak mampu ayo china pasok terus saja rudal keiran biar hancur tuh as dan zionis,"['china', 'diancam', 'oleh', 'as', 'sedangkan', 'lawan', 'iran', 'saja', 'tidak', 'mampu', 'ayo', 'china', 'pasok', 'terus', 'saja', 'rudal', 'keiran', 'biar', 'hancur', 'tuh', 'as', 'dan', 'zionis']",china diancam amerika serikat lawan iran ayo china pasok rudal keiran biar hancur amerika serikat zionis
TRUMP & NETANYAHO TERORRIST DUNUA,TRUMP  NETANYAHO TERORRIST DUNUA,trump  netanyaho terorrist dunua,trump netanyaho terorrist dunua,"['trump', 'netanyaho', 'terorrist', 'dunua']",trump netanyaho terorrist dunua
"Negara lain tidak boleh ikut campur, cina masukan senjata ke Iran",Negara lain tidak boleh ikut campur cina masukan senjata ke Iran,negara lain tidak boleh ikut campur cina masukan senjata ke iran,negara lain tidak boleh ikut campur cina masukan senjata ke iran,"['negara', 'lain', 'tidak', 'boleh', 'ikut', 'campur', 'cina', 'masukan', 'senjata', 'ke', 'iran']",negara campur cina masukan senjata iran
ISRAEL TERORRIST,ISRAEL TERORRIST,israel terorrist,israel terorrist,"['israel', 'terorrist']",israel terorrist
Iran gak akan pernah kalah musuh² akan hancur,Iran gak akan pernah kalah musuh akan hancur,iran gak akan pernah kalah musuh akan hancur,iran tidak akan pernah kalah musuh akan hancur,"['iran', 'tidak', 'akan', 'pernah', 'kalah', 'musuh', 'akan', 'hancur']",iran kalah musuh hancur
"IRAN jangan dilawan bukan hanya blokade,kabel optik di dasar selat Hormuz kalo di putus IRAN, Dunia akan lumpuh,",IRAN jangan dilawan bukan hanya blokadekabel optik di dasar selat Hormuz kalo di putus IRAN Dunia akan lumpuh,iran jangan dilawan bukan hanya blokadekabel optik di dasar selat hormuz kalo di putus iran dunia akan lumpuh,iran jangan dilawan bukan hanya blokadekabel optik di dasar selat hormuz kalau di putus iran dunia akan lumpuh,"['iran', 'jangan', 'dilawan', 'bukan', 'hanya', 'blokadekabel', 'optik', 'di', 'dasar', 'selat', 'hormuz', 'kalau', 'di', 'putus', 'iran', 'dunia', 'akan', 'lumpuh']",iran dilawan blokadekabel optik dasar selat hormuz putus iran dunia lumpuh
Akan mendapatkan ganjaran nya aminkan s anjing netanyhu,Akan mendapatkan ganjaran nya aminkan s anjing netanyhu,akan mendapatkan ganjaran nya aminkan s anjing netanyhu,akan mendapatkan ganjaran ya aminkan si anjing netanyhu,"['akan', 'mendapatkan', 'ganjaran', 'ya', 'aminkan', 'si', 'anjing', 'netanyhu']",ganjaran aminkan si anjing netanyhu
🙏 mau damai ada syarat 🙏, mau damai ada syarat , mau damai ada syarat ,mau damai ada syarat,"['mau', 'damai', 'ada', 'syarat']",damai syarat
Dapatkan orang rusia chine jatuh video tab gambar tarik banyak as ada belum pietnam,Dapatkan orang rusia chine jatuh video tab gambar tarik banyak as ada belum pietnam,dapatkan orang rusia chine jatuh video tab gambar tarik banyak as ada belum pietnam,dapatkan orang rusia chine jatuh video tab gambar tarik banyak as ada belum pietnam,"['dapatkan', 'orang', 'rusia', 'chine', 'jatuh', 'video', 'tab', 'gambar', 'tarik', 'banyak', 'as', 'ada', 'belum', 'pietnam']",dapatkan rusia chine jatuh video tab gambar tarik amerika serikat pietnam
Kirim rudal ke Amerika 😂,Kirim rudal ke Amerika ,kirim rudal ke amerika ,kirim rudal ke amerika,"['kirim', 'rudal', 'ke', 'amerika']",kirim rudal amerika
Amereka hancurkan,Amereka hancurkan,amereka hancurkan,amereka hancurkan,"['amereka', 'hancurkan']",amereka hancurkan
"Saat dunia mengecam dan menutup celah untuk amerika dan israel, Si omon omon malah membiarkan anak buahnya membuka wilayah udara indonesia untu pesawat perang amerika.
Rakyat harus rapatkan barisan
NO KING!!!","Saat dunia mengecam dan menutup celah untuk amerika dan israel Si omon omon malah membiarkan anak buahnya membuka wilayah udara indonesia untu pesawat perang amerika
Rakyat harus rapatkan barisan
NO KING","saat dunia mengecam dan menutup celah untuk amerika dan israel si omon omon malah membiarkan anak buahnya membuka wilayah udara indonesia untu pesawat perang amerika
rakyat harus rapatkan barisan
no king",saat dunia mengecam dan menutup celah untuk amerika dan israel sih omon omon malah membiarkan anak buahnya membuka wilayah udara indonesia untu pesawat perang amerika rakyat harus rapatkan barisan no king,"['saat', 'dunia', 'mengecam', 'dan', 'menutup', 'celah', 'untuk', 'amerika', 'dan', 'israel', 'sih', 'omon', 'omon', 'malah', 'membiarkan', 'anak', 'buahnya', 'membuka', 'wilayah', 'udara', 'indonesia', 'untu', 'pesawat', 'perang', 'amerika', 'rakyat', 'harus', 'rapatkan', 'barisan', 'no', 'king']",dunia mengecam menutup celah amerika israel omon omon membiarkan anak buahnya membuka wilayah udara indonesia untu pesawat perang amerika rakyat rapatkan barisan no king
Kinzir Trump nie...nyusahkan dunia...knapelah dia tak mampos2 lagi..bagus tangkap ikat dekat rudal tembak lelangit bagi berkecai dekat udara...sekali dengan Netanyahu Malaysia pun nak kirim anuar Ibrahim bawak sekali biawak hidup nie semak je kat Malaysia nyusahkan rakyat...😂😂😂 Jadi manusia acah2 bagus padahal bangsat nyusahkan rakyat....jadi PM kayu...jadi PMBT bolehlah...😅😂😂,Kinzir Trump nienyusahkan duniaknapelah dia tak mampos lagibagus tangkap ikat dekat rudal tembak lelangit bagi berkecai dekat udarasekali dengan Netanyahu Malaysia pun nak kirim anuar Ibrahim bawak sekali biawak hidup nie semak je kat Malaysia nyusahkan rakyat Jadi manusia acah bagus padahal bangsat nyusahkan rakyatjadi PM kayujadi PMBT bolehlah,kinzir trump nienyusahkan duniaknapelah dia tak mampos lagibagus tangkap ikat dekat rudal tembak lelangit bagi berkecai dekat udarasekali dengan netanyahu malaysia pun nak kirim anuar ibrahim bawak sekali biawak hidup nie semak je kat malaysia nyusahkan rakyat jadi manusia acah bagus padahal bangsat nyusahkan rakyatjadi pm kayujadi pmbt bolehlah,kinzir trump nienyusahkan duniaknapelah dia tak mampos lagibagus tangkap ikat dekat rudal tembak lelangit bagi berkecai dekat udarasekali dengan netanyahu malaysia pun nak kirim anuar ibrahim bawa sekali biawak hidup ini semak je kat malaysia nyusahkan rakyat jadi manusia acah bagus padahal bangsat nyusahkan rakyatjadi pm kayujadi pmbt bolehlah,"['kinzir', 'trump', 'nienyusahkan', 'duniaknapelah', 'dia', 'tak', 'mampos', 'lagibagus', 'tangkap', 'ikat', 'dekat', 'rudal', 'tembak', 'lelangit', 'bagi', 'berkecai', 'dekat', 'udarasekali', 'dengan', 'netanyahu', 'malaysia', 'pun', 'nak', 'kirim', 'anuar', 'ibrahim', 'bawa', 'sekali', 'biawak', 'hidup', 'ini', 'semak', 'je', 'kat', 'malaysia', 'nyusahkan', 'rakyat', 'jadi', 'manusia', 'acah', 'bagus', 'padahal', 'bangsat', 'nyusahkan', 'rakyatjadi', 'pm', 'kayujadi', 'pmbt', 'bolehlah']",kinzir trump nienyusahkan duniaknapelah mampos lagibagus tangkap ikat rudal tembak lelangit berkecai udarasekali netanyahu malaysia kirim anuar ibrahim bawa biawak hidup semak je kat malaysia nyusahkan rakyat manusia acah bagus bangsat nyusahkan rakyatjadi pm kayujadi pmbt
Iran. Kok. Di. Lawan.,Iran Kok Di Lawan,iran kok di lawan,iran kok di lawan,"['iran', 'kok', 'di', 'lawan']",iran lawan
"😢Sangat setuju Prabowo di mazulkan, Gibran presiden  org pak Jokowi  byk  jd menteri Prabowo. 
TNI skrg di pimpin jenderal karbitan karena walau tdk ada pengalaman tempur atau keahlian di  meliter diangkat jenderal. Kalau  yel yel mulut nya TNI seperti ledakan bom nuklir dan bilang 1 org pasukan elit TNI: 150 TNI biasa, kenyataan nya nol buktinya Marinir/Kopasus/kopasgat lawan gerombolan KKB  saja  byk yg mati/ mampus, dan sok sok hebat ikut ikutan jd pasukan PBB akibatnya di bantai tentara  Israel  akibat dipimpin jenderal karbitan. Wajar saja selama ini  TNI selalu di permainkan tentara Diraja Malaysia karena  Malaysia sdh tahu ,  TNI besar omong aja gak ada nyali dan kemampuan perang","Sangat setuju Prabowo di mazulkan Gibran presiden  org pak Jokowi  byk  jd menteri Prabowo 
TNI skrg di pimpin jenderal karbitan karena walau tdk ada pengalaman tempur atau keahlian di  meliter diangkat jenderal Kalau  yel yel mulut nya TNI seperti ledakan bom nuklir dan bilang  org pasukan elit TNI  TNI biasa kenyataan nya nol buktinya MarinirKopasuskopasgat lawan gerombolan KKB  saja  byk yg mati mampus dan sok sok hebat ikut ikutan jd pasukan PBB akibatnya di bantai tentara  Israel  akibat dipimpin jenderal karbitan Wajar saja selama ini  TNI selalu di permainkan tentara Diraja Malaysia karena  Malaysia sdh tahu   TNI besar omong aja gak ada nyali dan kemampuan perang","sangat setuju prabowo di mazulkan gibran presiden  org pak jokowi  byk  jd menteri prabowo 
tni skrg di pimpin jenderal karbitan karena walau tdk ada pengalaman tempur atau keahlian di  meliter diangkat jenderal kalau  yel yel mulut nya tni seperti ledakan bom nuklir dan bilang  org pasukan elit tni  tni biasa kenyataan nya nol buktinya marinirkopasuskopasgat lawan gerombolan kkb  saja  byk yg mati mampus dan sok sok hebat ikut ikutan jd pasukan pbb akibatnya di bantai tentara  israel  akibat dipimpin jenderal karbitan wajar saja selama ini  tni selalu di permainkan tentara diraja malaysia karena  malaysia sdh tahu   tni besar omong aja gak ada nyali dan kemampuan perang",sangat setuju prabowo di mazulkan gibran presiden orang pak jokowi banyak jadi menteri prabowo tni sekarang di pimpin jenderal karbitan karena walau tidak ada pengalaman tempur atau keahlian di meliter diangkat jenderal kalau yel yel mulut ya tni seperti ledakan bom nuklir dan bilang orang pasukan elit tni tni biasa kenyataan ya nol buktinya marinirkopasuskopasgat lawan gerombolan kkb saja banyak yang mati mampus dan sok sok hebat ikut ikutan jadi pasukan pbb akibatnya di bantai tentara israel akibat dipimpin jenderal karbitan wajar saja selama ini tni selalu di permainkan tentara diraja malaysia karena malaysia sudah tahu tni besar omong saja tidak ada nyali dan kemampuan perang,"['sangat', 'setuju', 'prabowo', 'di', 'mazulkan', 'gibran', 'presiden', 'orang', 'pak', 'jokowi', 'banyak', 'jadi', 'menteri', 'prabowo', 'tni', 'sekarang', 'di', 'pimpin', 'jenderal', 'karbitan', 'karena', 'walau', 'tidak', 'ada', 'pengalaman', 'tempur', 'atau', 'keahlian', 'di', 'meliter', 'diangkat', 'jenderal', 'kalau', 'yel', 'yel', 'mulut', 'ya', 'tni', 'seperti', 'ledakan', 'bom', 'nuklir', 'dan', 'bilang', 'orang', 'pasukan', 'elit', 'tni', 'tni', 'biasa', 'kenyataan', 'ya', 'nol', 'buktinya', 'marinirkopasuskopasgat', 'lawan', 'gerombolan', 'kkb', 'saja', 'banyak', 'yang', 'mati', 'mampus', 'dan', 'sok', 'sok', 'hebat', 'ikut', 'ikutan', 'jadi', 'pasukan', 'pbb', 'akibatnya', 'di', 'bantai', 'tentara', 'israel', 'akibat', 'dipimpin', 'jenderal', 'karbitan', 'wajar', 'saja', 'selama', 'ini', 'tni', 'selalu', 'di', 'permainkan', 'tentara', 'diraja', 'malaysia', 'karena', 'malaysia', 'sudah', 'tahu', 'tni', 'besar', 'omong', 'saja', 'tidak', 'ada', 'nyali', 'dan', 'kemampuan', 'perang']",setuju prabowo mazulkan gibran presiden jokowi menteri prabowo tni pimpin jenderal karbitan pengalaman tempur keahlian meliter diangkat jenderal yel yel mulut tni ledakan bom nuklir bilang pasukan elit tni tni kenyataan nol buktinya marinirkopasuskopasgat lawan gerombolan kkb mati mampus sok sok hebat ikutan pasukan pbb akibatnya bantai tentara israel akibat dipimpin jenderal karbitan wajar tni permainkan tentara diraja malaysia malaysia tni omong nyali kemampuan perang
Semua dukun se indonesia kompak s4nt3t nyetanyahu biar cepat kelar konplik  nya 🙏,Semua dukun se indonesia kompak sntt nyetanyahu biar cepat kelar konplik  nya ,semua dukun se indonesia kompak sntt nyetanyahu biar cepat kelar konplik  nya ,semua dukun se indonesia kompak sntt nyetanyahu biar cepat kelar konplik ya,"['semua', 'dukun', 'se', 'indonesia', 'kompak', 'sntt', 'nyetanyahu', 'biar', 'cepat', 'kelar', 'konplik', 'ya']",dukun indonesia kompak sntt nyetanyahu biar cepat kelar konplik
Ratakan iran ❤❤🇮🇱🇮🇱🇮🇱❤❤ we anjing kirsten agama yg benar,Ratakan iran  we anjing kirsten agama yg benar,ratakan iran  we anjing kirsten agama yg benar,ratakan iran we anjing kirsten agama yang benar,"['ratakan', 'iran', 'we', 'anjing', 'kirsten', 'agama', 'yang', 'benar']",ratakan iran anjing kirsten agama
"Amerika sedikitpun jangan di kasih celah kapalnya masuk selat Hormuz, RUDAL biar kapok ...",Amerika sedikitpun jangan di kasih celah kapalnya masuk selat Hormuz RUDAL biar kapok ,amerika sedikitpun jangan di kasih celah kapalnya masuk selat hormuz rudal biar kapok ,amerika sedikitpun jangan di kasih celah kapalnya masuk selat hormuz rudal biar kapok,"['amerika', 'sedikitpun', 'jangan', 'di', 'kasih', 'celah', 'kapalnya', 'masuk', 'selat', 'hormuz', 'rudal', 'biar', 'kapok']",amerika sedikitpun kasih celah kapalnya masuk selat hormuz rudal biar kapok
Topi nya donal trompet bertuliskan USA<<<>>>ASU 😂😂😂,Topi nya donal trompet bertuliskan USAASU ,topi nya donal trompet bertuliskan usaasu ,topi ya donal trompet bertuliskan usaasu,"['topi', 'ya', 'donal', 'trompet', 'bertuliskan', 'usaasu']",topi donald trompet bertuliskan usaasu
Terrorist israel amerika  degil bedil the aje semua kapal2  dagang As. Sana,Terrorist israel amerika  degil bedil the aje semua kapal  dagang As Sana,terrorist israel amerika  degil bedil the aje semua kapal  dagang as sana,terrorist israel amerika degil bedil the saja semua kapal dagang as sana,"['terrorist', 'israel', 'amerika', 'degil', 'bedil', 'the', 'saja', 'semua', 'kapal', 'dagang', 'as', 'sana']",terrorist israel amerika degil bedil kapal dagang amerika serikat
Ceasefire terrorist israel amerika  liar,Ceasefire terrorist israel amerika  liar,ceasefire terrorist israel amerika  liar,ceasefire terrorist israel amerika liar,"['ceasefire', 'terrorist', 'israel', 'amerika', 'liar']",ceasefire terrorist israel amerika liar
Terrorist israel amerika  get ouyt from.plastina lands,Terrorist israel amerika  get ouyt fromplastina lands,terrorist israel amerika  get ouyt fromplastina lands,terrorist israel amerika get ouyt fromplastina lands,"['terrorist', 'israel', 'amerika', 'get', 'ouyt', 'fromplastina', 'lands']",terrorist israel amerika get ouyt fromplastina lands
Block semuga kapal  pro israel israel,Block semuga kapal  pro israel israel,block semuga kapal  pro israel israel,block semuga kapal pro israel israel,"['block', 'semuga', 'kapal', 'pro', 'israel', 'israel']",block semuga kapal pro israel israel
Bravo IRAN hancurkan Donal dengan kesombongan yang selalu mengacau perdamaian dunia 🌍 bumi hanguskan musuh kita,Bravo IRAN hancurkan Donal dengan kesombongan yang selalu mengacau perdamaian dunia  bumi hanguskan musuh kita,bravo iran hancurkan donal dengan kesombongan yang selalu mengacau perdamaian dunia  bumi hanguskan musuh kita,bravo iran hancurkan donal dengan kesombongan yang selalu mengacau perdamaian dunia bumi hanguskan musuh kita,"['bravo', 'iran', 'hancurkan', 'donal', 'dengan', 'kesombongan', 'yang', 'selalu', 'mengacau', 'perdamaian', 'dunia', 'bumi', 'hanguskan', 'musuh', 'kita']",bravo iran hancurkan donald kesombongan mengacau perdamaian dunia bumi hanguskan musuh
"Iran 48 tahundi blokade tenang SJ,slot Hormuz Iran blokade seluruh dunia panik😊hebat Iran No 1 terkuat di dunia trnyata",Iran  tahundi blokade tenang SJslot Hormuz Iran blokade seluruh dunia panikhebat Iran No  terkuat di dunia trnyata,iran  tahundi blokade tenang sjslot hormuz iran blokade seluruh dunia panikhebat iran no  terkuat di dunia trnyata,iran tahundi blokade tenang sjslot hormuz iran blokade seluruh dunia panikhebat iran no terkuat di dunia ternyata,"['iran', 'tahundi', 'blokade', 'tenang', 'sjslot', 'hormuz', 'iran', 'blokade', 'seluruh', 'dunia', 'panikhebat', 'iran', 'no', 'terkuat', 'di', 'dunia', 'ternyata']",iran tahundi blokade tenang sjslot hormuz iran blokade dunia panikhebat iran no terkuat dunia
Israel  & Amerika biadab membunuh rakyat sipil dibiarkan mana keberadaan PBB  dalam penegakan Hak Asasi  Manusia. PBB bubarkan hanya jadi tameng buat negara Zionis 🫵👊,Israel   Amerika biadab membunuh rakyat sipil dibiarkan mana keberadaan PBB  dalam penegakan Hak Asasi  Manusia PBB bubarkan hanya jadi tameng buat negara Zionis ,israel   amerika biadab membunuh rakyat sipil dibiarkan mana keberadaan pbb  dalam penegakan hak asasi  manusia pbb bubarkan hanya jadi tameng buat negara zionis ,israel amerika biadab membunuh rakyat sipil dibiarkan mana keberadaan pbb dalam penegakan hak asasi manusia pbb bubarkan hanya jadi tameng buat negara zionis,"['israel', 'amerika', 'biadab', 'membunuh', 'rakyat', 'sipil', 'dibiarkan', 'mana', 'keberadaan', 'pbb', 'dalam', 'penegakan', 'hak', 'asasi', 'manusia', 'pbb', 'bubarkan', 'hanya', 'jadi', 'tameng', 'buat', 'negara', 'zionis']",israel amerika biadab membunuh rakyat sipil dibiarkan keberadaan pbb penegakan hak asasi manusia pbb bubarkan tameng negara zionis
Harus ada negara yang berani melawan Amerika dan Israel.,Harus ada negara yang berani melawan Amerika dan Israel,harus ada negara yang berani melawan amerika dan israel,harus ada negara yang berani melawan amerika dan israel,"['harus', 'ada', 'negara', 'yang', 'berani', 'melawan', 'amerika', 'dan', 'israel']",negara berani melawan amerika israel
Bacot cm Donal Bebek kapan as mnang perang🤣🤣🤣🤣,Bacot cm Donal Bebek kapan as mnang perang,bacot cm donal bebek kapan as mnang perang,bacot cuma donal bebek kapan as mnang perang,"['bacot', 'cuma', 'donal', 'bebek', 'kapan', 'as', 'mnang', 'perang']",bacot donald bebek amerika serikat mnang perang
"Cuma Israel yg berani  bela palestina,,",Cuma Israel yg berani  bela palestina,cuma israel yg berani  bela palestina,cuma israel yang berani bela palestina,"['cuma', 'israel', 'yang', 'berani', 'bela', 'palestina']",israel berani bela palestina
syarat Amerika terlalu ign menang sendiri. bagus ditolak Krn tak layak utk diikuti.,syarat Amerika terlalu ign menang sendiri bagus ditolak Krn tak layak utk diikuti,syarat amerika terlalu ign menang sendiri bagus ditolak krn tak layak utk diikuti,syarat amerika terlalu ign menang sendiri bagus ditolak karena tak layak untuk diikuti,"['syarat', 'amerika', 'terlalu', 'ign', 'menang', 'sendiri', 'bagus', 'ditolak', 'karena', 'tak', 'layak', 'untuk', 'diikuti']",syarat amerika ign menang bagus ditolak layak diikuti
Hancurlah kan kapal-kapal yg bersekutu dengan Amerika,Hancurlah kan kapalkapal yg bersekutu dengan Amerika,hancurlah kan kapalkapal yg bersekutu dengan amerika,hancurlah kan kapalkapal yang bersekutu dengan amerika,"['hancurlah', 'kan', 'kapalkapal', 'yang', 'bersekutu', 'dengan', 'amerika']",hancurlah kapalkapal bersekutu amerika
Tram mulai panik,Tram mulai panik,tram mulai panik,tram mulai panik,"['tram', 'mulai', 'panik']",trump panik
"setiap negara pasti punya pendirian dan keinginan untuk merdeka dari jajahan, contohnya Indonesia yg berjuang untuk merdeka dengan peralatan perang seadanya seperti bambu runcing, kamu orang Indonesia 100% benci penjajah,",setiap negara pasti punya pendirian dan keinginan untuk merdeka dari jajahan contohnya Indonesia yg berjuang untuk merdeka dengan peralatan perang seadanya seperti bambu runcing kamu orang Indonesia  benci penjajah,setiap negara pasti punya pendirian dan keinginan untuk merdeka dari jajahan contohnya indonesia yg berjuang untuk merdeka dengan peralatan perang seadanya seperti bambu runcing kamu orang indonesia  benci penjajah,setiap negara pasti punya pendirian dan keinginan untuk merdeka dari jajahan contohnya indonesia yang berjuang untuk merdeka dengan peralatan perang seadanya seperti bambu runcing kamu orang indonesia benci penjajah,"['setiap', 'negara', 'pasti', 'punya', 'pendirian', 'dan', 'keinginan', 'untuk', 'merdeka', 'dari', 'jajahan', 'contohnya', 'indonesia', 'yang', 'berjuang', 'untuk', 'merdeka', 'dengan', 'peralatan', 'perang', 'seadanya', 'seperti', 'bambu', 'runcing', 'kamu', 'orang', 'indonesia', 'benci', 'penjajah']",negara pendirian merdeka jajahan contohnya indonesia berjuang merdeka peralatan perang seadanya bambu runcing indonesia benci penjajah
"syarat Amerika terlalu ign menang sendiri. bagus ditolak Krn tak layak utk diikuti. Alquran juga udh berulang kali menyatakan mrk mrk itu selalu membuat fitnah, dan tidak akan menepati janji yg dibuatnya sendiri.",syarat Amerika terlalu ign menang sendiri bagus ditolak Krn tak layak utk diikuti Alquran juga udh berulang kali menyatakan mrk mrk itu selalu membuat fitnah dan tidak akan menepati janji yg dibuatnya sendiri,syarat amerika terlalu ign menang sendiri bagus ditolak krn tak layak utk diikuti alquran juga udh berulang kali menyatakan mrk mrk itu selalu membuat fitnah dan tidak akan menepati janji yg dibuatnya sendiri,syarat amerika terlalu ign menang sendiri bagus ditolak karena tak layak untuk diikuti alquran juga sudah berulang kali menyatakan mereka mereka itu selalu membuat fitnah dan tidak akan menepati janji yang dibuatnya sendiri,"['syarat', 'amerika', 'terlalu', 'ign', 'menang', 'sendiri', 'bagus', 'ditolak', 'karena', 'tak', 'layak', 'untuk', 'diikuti', 'alquran', 'juga', 'sudah', 'berulang', 'kali', 'menyatakan', 'mereka', 'mereka', 'itu', 'selalu', 'membuat', 'fitnah', 'dan', 'tidak', 'akan', 'menepati', 'janji', 'yang', 'dibuatnya', 'sendiri']",syarat amerika ign menang bagus ditolak layak diikuti alquran berulang kali fitnah menepati janji
"Jangan tunduk KPD negara lain ,,termasuk ,,tentang meberintian pengayaan uranium ,,negara yg g punya ,,nuklir  ,?makanan empuk bagi negara  seraka",Jangan tunduk KPD negara lain termasuk tentang meberintian pengayaan uranium negara yg g punya nuklir  makanan empuk bagi negara  seraka,jangan tunduk kpd negara lain termasuk tentang meberintian pengayaan uranium negara yg g punya nuklir  makanan empuk bagi negara  seraka,jangan tunduk kepada negara lain termasuk tentang meberintian pengayaan uranium negara yang tidak punya nuklir makanan empuk bagi negara seraka,"['jangan', 'tunduk', 'kepada', 'negara', 'lain', 'termasuk', 'tentang', 'meberintian', 'pengayaan', 'uranium', 'negara', 'yang', 'tidak', 'punya', 'nuklir', 'makanan', 'empuk', 'bagi', 'negara', 'seraka']",tunduk negara meberintian pengayaan uranium negara nuklir makanan empuk negara seraka
"Iran menutup selat hormoz
Cina menutup ruang udara
Indonesia menutupi kejahatan para koruptor dan ijazah palsu","Iran menutup selat hormoz
Cina menutup ruang udara
Indonesia menutupi kejahatan para koruptor dan ijazah palsu","iran menutup selat hormoz
cina menutup ruang udara
indonesia menutupi kejahatan para koruptor dan ijazah palsu",iran menutup selat hormoz cina menutup ruang udara indonesia menutupi kejahatan para koruptor dan ijazah palsu,"['iran', 'menutup', 'selat', 'hormoz', 'cina', 'menutup', 'ruang', 'udara', 'indonesia', 'menutupi', 'kejahatan', 'para', 'koruptor', 'dan', 'ijazah', 'palsu']",iran menutup selat hormoz cina menutup ruang udara indonesia menutupi kejahatan koruptor ijazah palsu
❤❤❤iran gempur kapal'' as,iran gempur kapal as,iran gempur kapal as,iran gempur kapal as,"['iran', 'gempur', 'kapal', 'as']",iran gempur kapal amerika serikat
yahudi zionis perusak dunia.,yahudi zionis perusak dunia,yahudi zionis perusak dunia,yahudi zionis perusak dunia,"['yahudi', 'zionis', 'perusak', 'dunia']",yahudi zionis perusak dunia
"ODGJ jadi presiden ya begini jadinya omongan nya donald trumpet bebek terbalik ke dirinya sendiri bohongnya itu hampir tiap saat diberitakan,Bravo Iran free Palestin.",ODGJ jadi presiden ya begini jadinya omongan nya donald trumpet bebek terbalik ke dirinya sendiri bohongnya itu hampir tiap saat diberitakanBravo Iran free Palestin,odgj jadi presiden ya begini jadinya omongan nya donald trumpet bebek terbalik ke dirinya sendiri bohongnya itu hampir tiap saat diberitakanbravo iran free palestin,odgj jadi presiden ya begini jadinya omongan ya donald trumpet bebek terbalik ke dirinya sendiri bohongnya itu hampir tiap saat diberitakanbravo iran free palestin,"['odgj', 'jadi', 'presiden', 'ya', 'begini', 'jadinya', 'omongan', 'ya', 'donald', 'trumpet', 'bebek', 'terbalik', 'ke', 'dirinya', 'sendiri', 'bohongnya', 'itu', 'hampir', 'tiap', 'saat', 'diberitakanbravo', 'iran', 'free', 'palestin']",odgj presiden omongan donald trumpet bebek terbalik bohongnya diberitakanbravo iran free palestin
Sangat biadab.Zionis Zahanam.,Sangat biadabZionis Zahanam,sangat biadabzionis zahanam,sangat biadabzionis zahanam,"['sangat', 'biadabzionis', 'zahanam']",biadabzionis zahanam
"hhahaa trum g tau sejarah, China itu sudah punya peradaban jauh sebelum negara Amerika ada di peta dunia. dan China itu punya rakyat yg byk kok berani ngancam2 dasar bodo",hhahaa trum g tau sejarah China itu sudah punya peradaban jauh sebelum negara Amerika ada di peta dunia dan China itu punya rakyat yg byk kok berani ngancam dasar bodo,hhahaa trum g tau sejarah china itu sudah punya peradaban jauh sebelum negara amerika ada di peta dunia dan china itu punya rakyat yg byk kok berani ngancam dasar bodo,hhahaa trum tidak tau sejarah china itu sudah punya peradaban jauh sebelum negara amerika ada di peta dunia dan china itu punya rakyat yang banyak kok berani ngancam dasar bodo,"['hhahaa', 'trum', 'tidak', 'tau', 'sejarah', 'china', 'itu', 'sudah', 'punya', 'peradaban', 'jauh', 'sebelum', 'negara', 'amerika', 'ada', 'di', 'peta', 'dunia', 'dan', 'china', 'itu', 'punya', 'rakyat', 'yang', 'banyak', 'kok', 'berani', 'ngancam', 'dasar', 'bodo']",hhahaa trump sejarah china peradaban negara amerika peta dunia china rakyat berani ngancam dasar bodo
Wahai kaum iran ya pemberani habislah kaum israel Jg as,Wahai kaum iran ya pemberani habislah kaum israel Jg as,wahai kaum iran ya pemberani habislah kaum israel jg as,wahai kaum iran ya pemberani habislah kaum israel juga as,"['wahai', 'kaum', 'iran', 'ya', 'pemberani', 'habislah', 'kaum', 'israel', 'juga', 'as']",kaum iran pemberani habislah kaum israel amerika serikat
