Model,Accuracy,CV_Mean,CV_Std
SVM,0.7652733118971061,0.6832797943075513,0.019655083719153713
Logistic Regression,0.7395498392282959,0.6768275402183879,0.021342141893397556
Random Forest,0.6913183279742765,0.653534537480524,0.008819283199571955
Decision Tree,0.6430868167202572,0.6137483088720899,0.03468068572989488
Naive Bayes,0.6045016077170418,0.5754207782714909,0.010392528633299333
KNN,0.4180064308681672,0.3984258885234129,0.006893789379555502
